Day,Daily Discharge (m3/s),Daily SSC (mg/L),Upper SSC bound (+1SD),Lower SSC bound (-1SD),Ave fraction fines (based on two turbidimeters),Daily Suspended-Sediment Load (tonnes),Daily SS Load of fines (tonnes),Daily SS Load of sand (tonnes),Remarks,Daily Total gauged > 2-mm bedload (tonnes),Daily gauged bedload for 2-16mm particles (tonnes ),Daily gauged bedload for >16mm particles (tonnes ),Estimated daily ungauged bedload (tonnes),Total sediment discharge (tonnes),Release period,Project year
12/09/2011,32.6,103.5,152.2,54.9,0.847,291.3,246.7,44.6,NA,NA,NA,NA,51,343,early removal,proj year 1
01/20/2014,32.64052955,1564.169551,1781.491799,1373.358208,0.577529458,4406.5,2544.7,1861.8,NA,12.01223782,9.189361931,2.822875887,1456.821096,5875.333333,NA ,proj year 3
03/02/2015,32.68667539,51.71088392,65.61180136,40.75509984,0.68656363,146.1,100.3,45.8,NA,0.370967743,0.283790323,0.08717742,48.32903226,194.8,NA ,proj year 4
07/22/2013,32.9,106.8,157,56.6,0.861,303.8,261.5,42.2,NA,48,38.39,9.61,53,405,summer 2,proj year 2
01/05/2016,32.93108818,143.4997142,182.0753008,113.0969873,0.667988857,408.3,272.7,135.6,NA,NA,NA,NA,NA,408.3,NA ,proj year 5
10/30/2015,32.9359304,496.3329456,618.4051586,398.3575968,0.59177265,2459.9,1454.5,1005.4,NA,NA,NA,NA,NA,2459.9,NA ,proj year 5
01/06/2016,33.04771148,125.3648957,159.0654812,98.80432229,0.670275464,358,239.9,118.1,NA,NA,NA,NA,NA,358,NA ,proj year 5
08/30/2015,33.17142715,1350.113998,1537.695842,1185.415059,0.592480265,4239.1,2505.8,1733.3,NA,1.849580111,1.414928785,0.434651326,1411.183753,5652.133333,NA ,proj year 4
07/02/2016,33.20875144,6.755340094,8.571310309,5.324112433,0.724902247,19.4,14.1,5.3,NA,NA,NA,NA,NA,19.4,NA ,proj year 5
07/03/2016,33.28659661,6.24494322,7.923708571,4.921851362,0.726374703,18,13.1,4.9,NA,NA,NA,NA,NA,18,NA ,proj year 5
11/04/2015,33.29176525,352.7479162,447.5735949,278.0125857,0.615942729,1017.4,625.7,391.7,NA,NA,NA,NA,NA,1017.4,NA ,proj year 5
07/21/2013,33.3,108.1,158.9,57.3,0.858,311.2,267.2,44.1,NA,27.5,22.02,5.51,76,415,summer 2,proj year 2
08/30/2013,33.3,166.1,244.1,88,0.771,477.2,368,109.3,NA,24,19.18,4.8,135,636,summer 2,proj year 2
03/01/2015,33.36267498,58.62607252,74.38593065,46.2051943,0.684264194,169.1,115.7,53.4,NA,0.397919463,0.304408389,0.093511074,55.9687472,225.4666667,NA ,proj year 4
07/16/2014,33.38125634,26.63220242,33.79146985,20.98974116,0.698858357,76.6,53.6,23,NA,2.935861992,2.245934424,0.689927568,22.59747134,102.1333333,NA ,proj year 3
10/10/2013,33.39257018,613.4791136,698.7145409,538.6414634,0.549596549,1771.3,973.6,797.7,NA,12.4937418,9.557712477,2.936029323,577.9395915,2361.733333,NA ,proj year 3
03/07/2012,33.4,117.8,173.1,62.4,0.819,340.2,278.7,61.6,NA,NA,NA,NA,60,400,early removal,proj year 1
08/09/2012,33.4,108.7,159.8,57.6,0.872,313.7,273.7,40,NA,NA,NA,NA,55,369,summer 1,proj year 1
01/04/2016,33.43090232,163.2310081,207.1107603,128.6478886,0.665702324,471.6,314,157.6,NA,NA,NA,NA,NA,471.6,NA ,proj year 5
04/30/2013,33.6,1161.6,1707.5,615.6,0.637,3369.4,2146.6,1222.8,NA,875.3,693.84,181.47,248,4493,Lake Mills release,proj year 2
04/08/2015,33.62382564,18.8341201,23.8971074,14.84380825,0.705431729,54.7,38.6,16.1,NA,0.143955452,0.110125921,0.033829531,18.08937788,72.93333333,NA ,proj year 4
01/19/2012,33.8,115,169,60.9,0.848,335.9,284.9,51,NA,NA,NA,NA,59,395,early removal,proj year 1
03/14/2012,33.8,121.5,178.6,64.4,0.807,354.5,286.1,68.4,NA,NA,NA,NA,63,417,early removal,proj year 1
09/26/2011,33.9,126,185.2,66.8,0.956,369.5,353.1,16.4,NA,NA,NA,NA,65,435,early removal,proj year 1
04/28/2015,34.0839236,24.67251481,31.30497911,19.44524495,0.700147935,72.8,50.9,21.9,NA,0.1312309,0.100391638,0.030839261,24.13543577,97.06666667,NA ,proj year 4
04/11/2015,34.12393212,24.45875545,31.03375697,19.27677396,0.700302223,72.2,50.6,21.6,NA,0.198846035,0.152117217,0.046728818,23.86782063,96.26666667,NA ,proj year 4
11/18/2014,34.19903516,307.5163765,390.1829147,242.3640765,0.643295658,908.7,584.5,324.2,NA,10.21282451,7.812810748,2.400013759,292.6871755,1211.6,NA ,proj year 4
